
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,       q5 = 1.707112e+00, 

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 100 (NSNAP = 100)
                     DT = 8.647995e-03, mt = 2.00e+00

Gaussian
               SX = 8.416910e-01, SY = 8.416910e-01, SZ = 1.466760e+01
MUREL = 1.000000e-25, MUEND=1.000000e+04

---------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
---------------------------------------------------------------------------------
0         2.2586565246480315e+00 3.5345407886615327e-01 9.1305713734819849e-01 2.3459067640966604e+00 -1.4620455456107846e+00 1.0828408994780399e-01
1         2.2445597500230328e+00 3.5231005609008315e-01 9.1636133765940164e-01 2.3085375556464536e+00 -1.4378377609327129e+00 1.0518856155980766e-01
2         2.2325423668402062e+00 3.5145605685618408e-01 9.1930839836803435e-01 2.2760636709765047e+00 -1.4168197029113387e+00 1.0253394355082192e-01
3         2.2221934406484745e+00 3.5082279040206987e-01 9.2195092123513345e-01 2.2475977452032803e+00 -1.3984118681606461e+00 1.0023385196863709e-01
4         2.2132038113463111e+00 3.5035930528109344e-01 9.2433106896410011e-01 2.2224611158109862e+00 -1.3821712172849485e+00 9.8223538575079414e-02
5         2.2053360873086283e+00 3.5002745098559124e-01 9.2648315719361196e-01 2.2001243002401085e+00 -1.3677522203918204e+00 9.6453399281136817e-02
6         2.1984047842144463e+00 3.4979823672905397e-01 9.2843548839231904e-01 2.1801671001264888e+00 -1.3548807561384908e+00 9.4884715105074957e-02
7         2.1922627811393389e+00 3.4964936306874789e-01 9.3021167993011811e-01 2.1622510789980818e+00 -1.3433361115662255e+00 9.3486770708616954e-02
8         2.1867918458344611e+00 3.4956350467934860e-01 9.3183164515769534e-01 2.1461001008100360e+00 -1.3329382576975988e+00 9.2234852884979332e-02
9         2.1818958583563117e+00 3.4952708893759138e-01 9.3331233076065823e-01 2.1314862698600319e+00 -1.3235386592934952e+00 9.1108828091525138e-02
10        2.1774958697541185e+00 3.4952941041095192e-01 9.3466827939858688e-01 2.1182195797687244e+00 -1.3150135108208691e+00 9.0092110996724734e-02
11        2.1735264366732081e+00 3.4956197813979661e-01 9.3591206485431100e-01 2.1061401647867539e+00 -1.3072586742418313e+00 8.9170903134177665e-02
12        2.1699328606791481e+00 3.4961802750190291e-01 9.3705463268785905e-01 2.0951124120347013e+00 -1.3001858334809637e+00 8.8333621935648740e-02
13        2.1666690804208479e+00 3.4969215050231672e-01 9.3810556986963090e-01 2.0850204273183177e+00 -1.2937195336508560e+00 8.7570466381438922e-02
14        2.1636960423380041e+00 3.4978001261961650e-01 9.3907332036649072e-01 2.0757645006469034e+00 -1.2877948735798965e+00 8.6873082284889880e-02
15        2.1609804271630537e+00 3.4987813380416338e-01 9.3996535913164958e-01 2.0672583203717441e+00 -1.2823556874532653e+00 8.6234301308761974e-02
16        2.1584936443821121e+00 3.4998371761971009e-01 9.4078833375012538e-01 2.0594267550152452e+00 -1.2773530972778464e+00 8.5647935274877587e-02
17        2.1562110308853732e+00 3.5009451692068688e-01 9.4154818069503965e-01 2.0522040705651801e+00 -1.2727443497415298e+00 8.5108612445996434e-02
18        2.1541112068943065e+00 3.5020872753583943e-01 9.4225022147956772e-01 2.0455324853523966e+00 -1.2684918734987309e+00 8.4611646025233772e-02
19        2.1521755542312859e+00 3.5032490361461277e-01 9.4289924275867143e-01 2.0393609891934426e+00 -1.2645625089762429e+00 8.4152927640802108e-02
20        2.1503877906267315e+00 3.5044188986613456e-01 9.4349956351894870e-01 2.0336443712795278e+00 -1.2609268744303248e+00 8.3728840392445283e-02
21        2.1487336200500562e+00 3.5055876706751632e-01 9.4405509180566427e-01 2.0283424143463971e+00 -1.2575588405185707e+00 8.3336187349048643e-02
22        2.1472004436922854e+00 3.5067480806417684e-01 9.4456937291326937e-01 2.0234192223400118e+00 -1.2544350919766118e+00 8.2972132351439160e-02
23        2.1457771196876680e+00 3.5078944211529145e-01 9.4504563056497448e-01 2.0188426560458965e+00 -1.2515347597290312e+00 8.2634150690536839e-02
24        2.1444537622665321e+00 3.5090222591221731e-01 9.4548680229826942e-01 2.0145838566357934e+00 -1.2488391103478031e+00 8.2319987768054909e-02
25        2.1432215730105963e+00 3.5101281995829003e-01 9.4589557003296332e-01 2.0106168412731509e+00 -1.2463312825073611e+00 8.2027624253553158e-02
26        2.1420726983980907e+00 3.5112096927465153e-01 9.4627438661015262e-01 2.0069181581406754e+00 -1.2439960621894355e+00 8.1755246562046788e-02
27        2.1410001089990716e+00 3.5122648761014758e-01 9.4662549894302472e-01 2.0034665907543467e+00 -1.2418196900239442e+00 8.1501221715497063e-02
28        2.1399974965915396e+00 3.5132924449914243e-01 9.4695096830237069e-01 2.0002429033799838e+00 -1.2397896954268470e+00 8.1264075836890076e-02
29        2.1390591861854817e+00 3.5142915464106522e-01 9.4725268816675701e-01 1.9972296209067997e+00 -1.2378947531997699e+00 8.1042475670629499e-02
30        2.1381800605055514e+00 3.5152616917781226e-01 9.4753239999216332e-01 1.9944108377492424e+00 -1.2361245590506780e+00 8.0835212637011003e-02
31        2.1373554949308069e+00 3.5162026852608785e-01 9.4779170719533523e-01 1.9917720513183199e+00 -1.2344697211278122e+00 8.0641189018876194e-02
32        2.1365813012489623e+00 3.5171145648652041e-01 9.4803208759666757e-01 1.9893000163823094e+00 -1.2329216651671242e+00 8.0459405950588953e-02
33        2.1358536788691120e+00 3.5179975540284480e-01 9.4825490452833139e-01 1.9869826172629952e+00 -1.2314725512622138e+00 8.0288952937154281e-02
34        2.1351691723697419e+00 3.5188520218608199e-01 9.4846141678100804e-01 1.9848087553221812e+00 -1.2301152005973657e+00 8.0128998677836391e-02
35        2.1345246344471684e+00 3.5196784505215295e-01 9.4865278753586990e-01 1.9827682496073942e+00 -1.2288430307545892e+00 7.9978783006340745e-02
36        2.1339171934834886e+00 3.5204774084847157e-01 9.4883009240651661e-01 1.9808517488646313e+00 -1.2276499984264566e+00 7.9837609790325628e-02
37        2.1333442250785759e+00 3.5212495286716000e-01 9.4899432669721240e-01 1.9790506534043049e+00 -1.2265305485482250e+00 7.9704840658123485e-02
38        2.1328033269951079e+00 3.5219954906051426e-01 9.4914641196878358e-01 1.9773570455378704e+00 -1.2254795690133049e+00 7.9579889441244375e-02
39        2.1322922970503022e+00 3.5227160058908280e-01 9.4928720199059224e-01 1.9757636274925892e+00 -1.2244923502602187e+00 7.9462217238256763e-02
40        2.1318091135597763e+00 3.5234118064473985e-01 9.4941748814666482e-01 1.9742636658719925e+00 -1.2235645491234475e+00 7.9351328019826556e-02
41        2.1313519179977773e+00 3.5240836350113447e-01 9.4953800435486047e-01 1.9728509418623479e+00 -1.2226921564270212e+00 7.9246764706455974e-02
42        2.1309189995871742e+00 3.5247322375196538e-01 9.4964943155044712e-01 1.9715197064974139e+00 -1.2218714678729783e+00 7.9148105660326457e-02
43        2.1305087815744912e+00 3.5253583570435071e-01 9.4975240177906795e-01 1.9702646403878694e+00 -1.2210990578377019e+00 7.9054961540905244e-02
44        2.1301198089796354e+00 3.5259627290009271e-01 9.4984750193846135e-01 1.9690808174019307e+00 -1.2203717557418048e+00 7.8966972480955314e-02
45        2.1297507376396685e+00 3.5265460774228685e-01 9.4993527720374815e-01 1.9679636718509252e+00 -1.2196866247027516e+00 7.8883805545459748e-02
46        2.1294003243903195e+00 3.5271091120846582e-01 9.5001623416681935e-01 1.9669089687911088e+00 -1.2190409422170232e+00 7.8805152440948892e-02
47        2.1290674182509455e+00 3.5276525263479275e-01 9.5009084371717989e-01 1.9659127771032301e+00 -1.2184321826512710e+00 7.8730727447013676e-02
48        2.1287509524951767e+00 3.5281769955827352e-01 9.5015954368817346e-01 1.9649714450518072e+00 -1.2178580013484133e+00 7.8660265545335700e-02
49        2.1284499375066388e+00 3.5286831760633697e-01 9.5022274129045092e-01 1.9640815780645005e+00 -1.2173162201794068e+00 7.8593520724757324e-02
50        2.1281634543302155e+00 3.5291717042479598e-01 9.5028081535148123e-01 1.9632400185011216e+00 -1.2168048143906733e+00 7.8530264443489428e-02
51        2.1278906488422393e+00 3.5296431963683406e-01 9.5033411837874970e-01 1.9624438272103744e+00 -1.2163219006156343e+00 7.8470284231915571e-02
52        2.1276307264716934e+00 3.5300982482690013e-01 9.5038297846181063e-01 1.9616902666952241e+00 -1.2158657259336423e+00 7.8413382421401251e-02
53        2.1273829474132229e+00 3.5305374354441249e-01 9.5042770102729268e-01 1.9609767857283331e+00 -1.2154346578730535e+00 7.8359374986238337e-02
54        2.1271466222795330e+00 3.5309613132309708e-01 9.5046857045924849e-01 1.9603010052762515e+00 -1.2150271752663897e+00 7.8308090487326065e-02
55        2.1269211081478021e+00 3.5313704171253663e-01 9.5050585159633394e-01 1.9596607056078157e+00 -1.2146418598764177e+00 7.8259369107533505e-02
56        2.1267058049590961e+00 3.5317652631903329e-01 9.5053979111597908e-01 1.9590538144741518e+00 -1.2142773887198186e+00 7.8213061769750611e-02
57        2.1265001522351756e+00 3.5321463485351273e-01 9.5057061881482940e-01 1.9584783962609369e+00 -1.2139325270237844e+00 7.8169029329680756e-02
58        2.1263036260810226e+00 3.5325141518450315e-01 9.5059854879396688e-01 1.9579326420233398e+00 -1.2136061217570440e+00 7.8127141836256991e-02
59        2.1261157364449321e+00 3.5328691339470386e-01 9.5062378055656560e-01 1.9574148603236865e+00 -1.2132970956833697e+00 7.8087277853345793e-02
60        2.1259360246108612e+00 3.5332117383981076e-01 9.5064650002487794e-01 1.9569234687995869e+00 -1.2130044418904660e+00 7.8049323837051501e-02
61        2.1257640609013109e+00 3.5335423920865616e-01 9.5066688048309111e-01 1.9564569863983183e+00 -1.2127272187523037e+00 7.8013173563548949e-02
62        2.1255994425702189e+00 3.5338615058378842e-01 9.5068508345172098e-01 1.9560140262185981e+00 -1.2124645452867551e+00 7.7978727602866310e-02
63        2.1254417918685036e+00 3.5341694750187863e-01 9.5070125949888584e-01 1.9555932889075167e+00 -1.2122155968742949e+00 7.7945892834517416e-02
64        2.1252907542663588e+00 3.5344666801346392e-01 9.5071554899343103e-01 1.9551935565651730e+00 -1.2119796013070110e+00 7.7914582001301913e-02
65        2.1251459968177286e+00 3.5347534874157782e-01 9.5072808280417886e-01 1.9548136871136179e+00 -1.2117558351395650e+00 7.7884713297919544e-02
66        2.1250072066545305e+00 3.5350302493903946e-01 9.5073898294956705e-01 1.9544526090915961e+00 -1.2115436203170846e+00 7.7856209991412406e-02
67        2.1248740895988849e+00 3.5352973054412451e-01 9.5074836320127454e-01 1.9541093168395520e+00 -1.2113423210567740e+00 7.7829000070707630e-02
68        2.1247463688829953e+00 3.5355549823448551e-01 9.5075632964534285e-01 1.9537828660427583e+00 -1.2111513409623864e+00 7.7803015922794802e-02
69        2.1246237839675262e+00 3.5358035947922584e-01 9.5076298120399638e-01 1.9534723696036556e+00 -1.2109701203526773e+00 7.7778194033325213e-02
70        2.1245060894497327e+00 3.5360434458901963e-01 9.5076841012095104e-01 1.9531769938164663e+00 -1.2107981337862881e+00 7.7754474709584340e-02
71        2.1243930540541074e+00 3.5362748276430023e-01 9.5077270241302780e-01 1.9528959548204785e+00 -1.2106348877677302e+00 7.7731801824031235e-02
72        2.1242844596981239e+00 3.5364980214146063e-01 9.5077593829041096e-01 1.9526285153091565e+00 -1.2104799186196016e+00 7.7710122576697196e-02
73        2.1241801006274006e+00 3.5367132983711785e-01 9.5077819254791707e-01 1.9523739814757899e+00 -1.2103327905083807e+00 7.7689387274956570e-02
74        2.1240797826140470e+00 3.5369209199044288e-01 9.5077953492932366e-01 1.9521317001764518e+00 -1.2101930936114256e+00 7.7669549129254098e-02
75        2.1239833222135083e+00 3.5371211380362666e-01 9.5078003046671278e-01 1.9519010562941614e+00 -1.2100604424145371e+00 7.7650564063544439e-02
76        2.1238905460748034e+00 3.5373141958051735e-01 9.5077973979660990e-01 1.9516814702882626e+00 -1.2099344741298650e+00 7.7632390539278423e-02
77        2.1238012903001313e+00 3.5375003276347822e-01 9.5077871945454517e-01 1.9514723959151614e+00 -1.2098148472249302e+00 7.7614989391876846e-02
78        2.1237153998500000e+00 3.5376797596857362e-01 9.5077702214962556e-01 1.9512733181075832e+00 -1.2097012400545242e+00 7.7598323678742018e-02
79        2.1236327279899436e+00 3.5378527101909552e-01 9.5077469702046080e-01 1.9510837510000518e+00 -1.2095933495875655e+00 7.7582358537901103e-02
80        2.1235531357761426e+00 3.5380193897753276e-01 9.5077178987381905e-01 1.9509032360901810e+00 -1.2094908902218819e+00 7.7567061056491818e-02
81        2.1234764915763269e+00 3.5381800017604437e-01 9.5076834340712846e-01 1.9507313405251767e+00 -1.2093935926803498e+00 7.7552400148327122e-02
82        2.1234026706239701e+00 3.5383347424550898e-01 9.5076439741606344e-01 1.9505676555050098e+00 -1.2093012029824934e+00 7.7538346439881251e-02
83        2.1233315546024856e+00 3.5384838014320935e-01 9.5075998898813885e-01 1.9504117947929089e+00 -1.2092134814858138e+00 7.7524872164042122e-02
84        2.1232630312578991e+00 3.5386273617921565e-01 9.5075515268337496e-01 1.9502633933262170e+00 -1.2091302019919896e+00 7.7511951061081441e-02
85        2.1231969940373654e+00 3.5387656004156925e-01 9.5074992070285724e-01 1.9501221059197380e+00 -1.2090511509130957e+00 7.7499558286296399e-02
86        2.1231333417518470e+00 3.5388986882026174e-01 9.5074432304603673e-01 1.9499876060552455e+00 -1.2089761264935370e+00 7.7487670323840199e-02
87        2.1230719782610885e+00 3.5390267903013450e-01 9.5073838765756191e-01 1.9498595847508915e+00 -1.2089049380837915e+00 7.7476264906292017e-02
88        2.1230128121794021e+00 3.5391500663271219e-01 9.5073214056433875e-01 1.9497377495049417e+00 -1.2088374054621467e+00 7.7465320939555826e-02
89        2.1229557566005992e+00 3.5392686705706533e-01 9.5072560600347567e-01 1.9496218233085543e+00 -1.2087733582012017e+00 7.7454818432705491e-02
90        2.1229007288408073e+00 3.5393827521970672e-01 9.5071880654177710e-01 1.9495115437226975e+00 -1.2087126350757953e+00 7.7444738432420737e-02
91        2.1228476501976985e+00 3.5394924554359719e-01 9.5071176318722550e-01 1.9494066620147408e+00 -1.2086550835095520e+00 7.7435062961687187e-02
92        2.1227964457254420e+00 3.5395979197633126e-01 9.5070449549323444e-01 1.9493069423508071e+00 -1.2086005590574078e+00 7.7425774962477170e-02
93        2.1227470440236038e+00 3.5396992800749705e-01 9.5069702165584025e-01 1.9492121610396860e+00 -1.2085489249215295e+00 7.7416858242109768e-02
94        2.1226993770396279e+00 3.5397966668528624e-01 9.5068935860462978e-01 1.9491221058250132e+00 -1.2085000514983522e+00 7.7408297423050693e-02
95        2.1226533798835976e+00 3.5398902063239285e-01 9.5068152208755663e-01 1.9490365752223451e+00 -1.2084538159546041e+00 7.7400077895907249e-02
96        2.1226089906544909e+00 3.5399800206122195e-01 9.5067352675019368e-01 1.9489553778980320e+00 -1.2084101018303572e+00 7.7392185775400468e-02
97        2.1225661502773443e+00 3.5400662278846107e-01 9.5066538620980245e-01 1.9488783320872261e+00 -1.2083687986672602e+00 7.7384607859114926e-02
98        2.1225248023503340e+00 3.5401489424903426e-01 9.5065711312448908e-01 1.9488052650482004e+00 -1.2083298016602197e+00 7.7377331588830034e-02
99        2.1224848930011011e+00 3.5402282750948932e-01 9.5064871925777106e-01 1.9487360125505235e+00 -1.2082930113309407e+00 7.7370345014258379e-02
100       2.1224463707520429e+00 3.5403043328081518e-01 9.5064021553898159e-01 1.9486704183952057e+00 -1.2082583332220025e+00 7.7363636759043022e-02
---------------------------------------------------------------------------------

Total time on GPU: 2.494162 seconds
---------------------------------------------------------------------------------

