
**********************************************
Contact: Natoms = 1.50000000000e+03, as = 7.000000e+01 * a0, G = 1.257538e+02, G * par = 2.515076e+02
Regular DDI: add = 1.326070e+02 * a0, GD = 5.687232e+01, GD * par = 1.137446e+02, edd = 1.894386e+00
     Dipolar cutoff Scut = 3.000000e+00,

QF = 1: h2 = 2.175508e+02,         q5 = 6.810518e+00

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.6875000000000000e-02, DY = 4.6875000000000000e-02, DZ = 3.1250000000000000e-01, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 100 (NSNAP = 100)
                     DT = 4.394531e-04, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+01

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
0         -1.0630056814246334e+01 3.3351905174922374e+00 0.0000000000000000e+00 1.9690909006084059e+01 -3.3656156337822630e+01 8.3325033900327181e+00
1         -1.0631108847941437e+01 3.3354132897752149e+00 0.0000000000000000e+00 1.9692392199811074e+01 -3.3658914337527726e+01 8.3335117395069016e+00
2         -1.0632270985832907e+01 3.3356620412548788e+00 0.0000000000000000e+00 1.9694034340637909e+01 -3.3661967367725694e+01 8.3346259287679576e+00
3         -1.0633543215079978e+01 3.3359366398510626e+00 0.0000000000000000e+00 1.9695835256208493e+01 -3.3665315111139535e+01 8.3358461299804247e+00
4         -1.0634925550736835e+01 3.3362369293408025e+00 0.0000000000000000e+00 1.9697794777566429e+01 -3.3668957257644067e+01 8.3371725774776149e+00
5         -1.0636418028737406e+01 3.3365627306338412e+00 0.0000000000000000e+00 1.9699912732681014e+01 -3.3672893492052260e+01 8.3386055571886768e+00
6         -1.0638020698281231e+01 3.3369138433241514e+00 0.0000000000000000e+00 1.9702188939602880e+01 -3.3677123481208262e+01 8.3401453949984763e+00
7         -1.0639733613946261e+01 3.3372900475012357e+00 0.0000000000000000e+00 1.9704623199604065e+01 -3.3681646861051561e+01 8.3417924444735370e+00
8         -1.0641556827838791e+01 3.3376911057963521e+00 0.0000000000000000e+00 1.9707215290625385e+01 -3.3686463224260528e+01 8.3435470743741824e+00
9         -1.0643490382041909e+01 3.3381167656299535e+00 0.0000000000000000e+00 1.9709964961278796e+01 -3.3691572108950659e+01 8.3454096563264120e+00
10        -1.0645534301555106e+01 3.3385667616206227e+00 0.0000000000000000e+00 1.9712871925588182e+01 -3.3696972988763910e+01 8.3473805529657881e+00
11        -1.0647688587854512e+01 3.3390408181097029e+00 0.0000000000000000e+00 1.9715935858557099e+01 -3.3702665264521315e+01 8.3494601067831269e+00
12        -1.0649953213121572e+01 3.3395386517494727e+00 0.0000000000000000e+00 1.9719156392558997e+01 -3.3708648257430042e+01 8.3516486298079293e+00
13        -1.0652328115124034e+01 3.3400599741024966e+00 0.0000000000000000e+00 1.9722533114475965e+01 -3.3714921203702495e+01 8.3539463941818646e+00
14        -1.0654813192675924e+01 3.3406044941963104e+00 0.0000000000000000e+00 1.9726065563441271e+01 -3.3721483250313504e+01 8.3563536235924545e+00
15        -1.0657408301571447e+01 3.3411719209800514e+00 0.0000000000000000e+00 1.9729753229004086e+01 -3.3728333451555585e+01 8.3588704854822637e+00
16        -1.0660113250861347e+01 3.3417619656323128e+00 0.0000000000000000e+00 1.9733595549520139e+01 -3.3735470766013798e+01 8.3614970839160367e+00
17        -1.0662927799352742e+01 3.3423743436761293e+00 0.0000000000000000e+00 1.9737591910577265e+01 -3.3742894053606136e+01 8.3642334529833544e+00
18        -1.0665851652219903e+01 3.3430087768636514e+00 0.0000000000000000e+00 1.9741741643292826e+01 -3.3750602072376381e+01 8.3670795506292421e+00
19        -1.0668884457647419e+01 3.3436649948037069e+00 0.0000000000000000e+00 1.9746044022362248e+01 -3.3758593474813374e+01 8.3700352528407134e+00
20        -1.0672025803463532e+01 3.3443427363118503e+00 0.0000000000000000e+00 1.9750498263789414e+01 -3.3766866803564795e+01 8.3731003481608202e+00
21        -1.0675275213769506e+01 3.3450417504731158e+00 0.0000000000000000e+00 1.9755103522291183e+01 -3.3775420486533804e+01 8.3762745325508448e+00
22        -1.0678632145603165e+01 3.3457617974112766e+00 0.0000000000000000e+00 1.9759858888415042e+01 -3.3784252831429484e+01 8.3795574046619254e+00
23        -1.0682095985732197e+01 3.3465026487670895e+00 0.0000000000000000e+00 1.9764763385474158e+01 -3.3793362019973443e+01 8.3829484616195042e+00
24        -1.0685666047680940e+01 3.3472640878887145e+00 0.0000000000000000e+00 1.9769815966426489e+01 -3.3802746101996142e+01 8.3864470954395731e+00
25        -1.0689341569128240e+01 3.3480459097461850e+00 0.0000000000000000e+00 1.9775015510858982e+01 -3.3812402989733407e+01 8.3900525902085725e+00
26        -1.0693121709793299e+01 3.3488479205841992e+00 0.0000000000000000e+00 1.9780360822230509e+01 -3.3822330452608007e+01 8.3937641201443380e+00
27        -1.0697005549920194e+01 3.3496699373343852e+00 0.0000000000000000e+00 1.9785850625517501e+01 -3.3832526112772079e+01 8.3975807486334517e+00
28        -1.0700992089436705e+01 3.3505117868147121e+00 0.0000000000000000e+00 1.9791483565378734e+01 -3.3842987441630150e+01 8.4015014283072240e+00
29        -1.0705080247828283e+01 3.3513733047473000e+00 0.0000000000000000e+00 1.9797258204922827e+01 -3.3853711757498409e+01 8.4055250021776740e+00
30        -1.0709268864740821e+01 3.3522543346301461e+00 0.0000000000000000e+00 1.9803173025131812e+01 -3.3864696224502779e+01 8.4096502058221621e+00
31        -1.0713556701301901e+01 3.3531547264992527e+00 0.0000000000000000e+00 1.9809226424969111e+01 -3.3875937852770264e+01 8.4138756705700413e+00
32        -1.0717942442133261e+01 3.3540743356161107e+00 0.0000000000000000e+00 1.9815416722181656e+01 -3.3887433499931028e+01 8.4181999276234052e+00
33        -1.0722424698010602e+01 3.3550130211131082e+00 0.0000000000000000e+00 1.9821742154784634e+01 -3.3899179873908345e+01 8.4226214130203712e+00
34        -1.0727002009130356e+01 3.3559706446274538e+00 0.0000000000000000e+00 1.9828200883216905e+01 -3.3911173536974715e+01 8.4271384733424810e+00
35        -1.0731672848918652e+01 3.3569470689489096e+00 0.0000000000000000e+00 1.9834790993122368e+01 -3.3923410910989929e+01 8.4317493720495023e+00
36        -1.0736435628318127e+01 3.3579421567058394e+00 0.0000000000000000e+00 1.9841510498716303e+01 -3.3935888283740269e+01 8.4364522963260029e+00
37        -1.0741288700474765e+01 3.3589557691120442e+00 0.0000000000000000e+00 1.9848357346669399e+01 -3.3948601816256208e+01 8.4412453643151029e+00
38        -1.0746230365739093e+01 3.3599877647929737e+00 0.0000000000000000e+00 1.9855329420437510e+01 -3.3961547550969577e+01 8.4461266326189968e+00
39        -1.0751258876891647e+01 3.3610379987091714e+00 0.0000000000000000e+00 1.9862424544956568e+01 -3.3974721420557387e+01 8.4510941039495009e+00
40        -1.0756372444518744e+01 3.3621063211907245e+00 0.0000000000000000e+00 1.9869640491628964e+01 -3.3988119257338433e+01 8.4561457348227709e+00
41        -1.0761569242451120e+01 3.3631925770921778e+00 0.0000000000000000e+00 1.9876974983521730e+01 -3.4001736803065029e+01 8.4612794432005121e+00
42        -1.0766847413208312e+01 3.3642966050727749e+00 0.0000000000000000e+00 1.9884425700710540e+01 -3.4015569718991628e+01 8.4664931159939130e+00
43        -1.0772205073385566e+01 3.3654182370040560e+00 0.0000000000000000e+00 1.9891990285705468e+01 -3.4029613596095089e+01 8.4717846163566382e+00
44        -1.0777640318934132e+01 3.3665572975018554e+00 0.0000000000000000e+00 1.9899666348897981e+01 -3.4043863965333969e+01 8.4771517907020932e+00
45        -1.0783151230286759e+01 3.3677136035783941e+00 0.0000000000000000e+00 1.9907451473970770e+01 -3.4058316307835923e+01 8.4825924753903248e+00
46        -1.0788735877289158e+01 3.3688869644086794e+00 0.0000000000000000e+00 1.9915343223217150e+01 -3.4072966064914986e+01 8.4881045030394109e+00
47        -1.0794392323896856e+01 3.3700771812040577e+00 0.0000000000000000e+00 1.9923339142721193e+01 -3.4087808647822108e+01 8.4936857084271864e+00
48        -1.0800118632617039e+01 3.3712840471858745e+00 0.0000000000000000e+00 1.9931436767360086e+01 -3.4102839447162999e+01 8.4993339339618270e+00
49        -1.0805912868666660e+01 3.3725073476506084e+00 0.0000000000000000e+00 1.9939633625595736e+01 -3.4118053841913003e+01 8.5050470347094880e+00
50        -1.0811773103847992e+01 3.3737468601173806e+00 0.0000000000000000e+00 1.9947927244035821e+01 -3.4133447208001193e+01 8.5108228829794630e+00
51        -1.0817697420130909e+01 3.3750023545490500e+00 0.0000000000000000e+00 1.9956315151751120e+01 -3.4149014926431079e+01 8.5166593724726933e+00
52        -1.0823683912941750e+01 3.3762735936355277e+00 0.0000000000000000e+00 1.9964794884334225e+01 -3.4164752390911502e+01 8.5225544220020737e+00
53        -1.0829730694167441e+01 3.3775603331309259e+00 0.0000000000000000e+00 1.9973363987693119e+01 -3.4180655014991487e+01 8.5285059787967121e+00
54        -1.0835835894864720e+01 3.3788623222340401e+00 0.0000000000000000e+00 1.9982020021568207e+01 -3.4196718238666968e+01 8.5345120214009853e+00
55        -1.0841997667687975e+01 3.3801793040046118e+00 0.0000000000000000e+00 1.9990760562766770e+01 -3.4212937534459357e+01 8.5405705621817916e+00
56        -1.0848214189030028e+01 3.3815110158076216e+00 0.0000000000000000e+00 1.9999583208109968e+01 -3.4229308412947617e+01 8.5466796494609394e+00
57        -1.0854483660897294e+01 3.3828571897779303e+00 0.0000000000000000e+00 2.0008485577097439e+01 -3.4245826427772663e+01 8.5528373692933908e+00
58        -1.0860804312520509e+01 3.3842175532992633e+00 0.0000000000000000e+00 2.0017465314297390e+01 -3.4262487180117162e+01 8.5590418469169034e+00
59        -1.0867174401734001e+01 3.3855918294910170e+00 0.0000000000000000e+00 2.0026520091475859e+01 -3.4279286322700877e+01 8.5652912479005892e+00
60        -1.0873592216133279e+01 3.3869797376965347e+00 0.0000000000000000e+00 2.0035647609482137e+01 -3.4296219563311951e+01 8.5715837790213012e+00
61        -1.0880056074029449e+01 3.3883809939684659e+00 0.0000000000000000e+00 2.0044845599901173e+01 -3.4313282667899088e+01 8.5779176888908193e+00
62        -1.0886564325217710e+01 3.3897953115461896e+00 0.0000000000000000e+00 2.0054111826485681e+01 -3.4330471463249580e+01 8.5842912683576937e+00
63        -1.0893115351567975e+01 3.3912224013227155e+00 0.0000000000000000e+00 2.0063444086374215e+01 -3.4347781839264904e+01 8.5907028506998397e+00
64        -1.0899707567443885e+01 3.3926619722983897e+00 0.0000000000000000e+00 2.0072840211102864e+01 -3.4365209750845139e+01 8.5971508116259532e+00
65        -1.0906339419966088e+01 3.3941137320197403e+00 0.0000000000000000e+00 2.0082298067422037e+01 -3.4382751219407865e+01 8.6036335691024401e+00
66        -1.0913009389132025e+01 3.3955773870016932e+00 0.0000000000000000e+00 2.0091815557929525e+01 -3.4400402334063244e+01 8.6101495830257448e+00
67        -1.0919715987804269e+01 3.3970526431306438e+00 0.0000000000000000e+00 2.0101390621537799e+01 -3.4418159252472712e+01 8.6166973547593582e+00
68        -1.0926457761593589e+01 3.3985392060479578e+00 0.0000000000000000e+00 2.0111021233795469e+01 -3.4436018201437015e+01 8.6232754265580329e+00
69        -1.0933233288647914e+01 3.4000367815111634e+00 0.0000000000000000e+00 2.0120705407075935e+01 -3.4453975477235012e+01 8.6298823808971097e+00
70        -1.0940041179356438e+01 3.4015450757322019e+00 0.0000000000000000e+00 2.0130441190649417e+01 -3.4472027445738057e+01 8.6365168397216490e+00
71        -1.0946880075984872e+01 3.4030637956938845e+00 0.0000000000000000e+00 2.0140226670645415e+01 -3.4490170542324172e+01 8.6431774636276799e+00
72        -1.0953748652240419e+01 3.4045926494430554e+00 0.0000000000000000e+00 2.0150059969912263e+01 -3.4508401271595737e+01 8.6498629509834721e+00
73        -1.0960645612772765e+01 3.4061313463637823e+00 0.0000000000000000e+00 2.0159939247780198e+01 -3.4526716206916745e+01 8.6565720369984245e+00
74        -1.0967569692616081e+01 3.4076795974293184e+00 0.0000000000000000e+00 2.0169862699733198e+01 -3.4545111989778597e+01 8.6633034927475556e+00
75        -1.0974519656587526e+01 3.4092371154350380e+00 0.0000000000000000e+00 2.0179828557006225e+01 -3.4563585329028790e+01 8.6700561241632865e+00
76        -1.0981494298640939e+01 3.4108036152108694e+00 0.0000000000000000e+00 2.0189835086113998e+01 -3.4582132999965808e+01 8.6768287710030929e+00
77        -1.0988492441202141e+01 3.4123788138145836e+00 0.0000000000000000e+00 2.0199880588331418e+01 -3.4600751843348142e+01 8.6836203058064854e+00
78        -1.0995512934484440e+01 3.4139624307047476e+00 0.0000000000000000e+00 2.0209963399127631e+01 -3.4619438764316818e+01 8.6904296328473034e+00
79        -1.1002554655789480e+01 3.4155541878951801e+00 0.0000000000000000e+00 2.0220081887568686e+01 -3.4638190731253346e+01 8.6972556870887825e+00
80        -1.1009616508802788e+01 3.4171538100911980e+00 0.0000000000000000e+00 2.0230234455683963e+01 -3.4657004774577949e+01 8.7040974331425787e+00
81        -1.1016697422874078e+01 3.4187610248103151e+00 0.0000000000000000e+00 2.0240419537803600e+01 -3.4675877985487993e+01 8.7109538642343605e+00
82        -1.1023796352288953e+01 3.4203755624879855e+00 0.0000000000000000e+00 2.0250635599865497e+01 -3.4694807514642434e+01 8.7178240011761243e+00
83        -1.1030912275533042e+01 3.4219971565706664e+00 0.0000000000000000e+00 2.0260881138699325e+01 -3.4713790570803035e+01 8.7247068913495571e+00
84        -1.1038044194553640e+01 3.4236255435956076e+00 0.0000000000000000e+00 2.0271154681291954e+01 -3.4732824419441201e+01 8.7316016077031957e+00
85        -1.1045191134027682e+01 3.4252604632588803e+00 0.0000000000000000e+00 2.0281454784046403e+01 -3.4751906381332965e+01 8.7385072477712598e+00
86        -1.1052352140640798e+01 3.4269016584703507e+00 0.0000000000000000e+00 2.0291780032037565e+01 -3.4771033831148713e+01 8.7454229327159201e+00
87        -1.1059526282380856e+01 3.4285488753969076e+00 0.0000000000000000e+00 2.0302129038270273e+01 -3.4790204196048037e+01 8.7523478063970508e+00
88        -1.1066712647845813e+01 3.4302018634947777e+00 0.0000000000000000e+00 2.0312500442942721e+01 -3.4809414954283312e+01 8.7592810344694296e+00
89        -1.1073910345566389e+01 3.4318603755319828e+00 0.0000000000000000e+00 2.0322892912711701e+01 -3.4828663633810073e+01 8.7662218035065322e+00
90        -1.1081118503335974e+01 3.4335241676027386e+00 0.0000000000000000e+00 2.0333305139959883e+01 -3.4847947810898596e+01 8.7731693201480230e+00
91        -1.1088336267552478e+01 3.4351929991352077e+00 0.0000000000000000e+00 2.0343735842064664e+01 -3.4867265108752349e+01 8.7801228102713615e+00
92        -1.1095562802568718e+01 3.4368666328930684e+00 0.0000000000000000e+00 2.0354183760673259e+01 -3.4886613196135045e+01 8.7870815181880282e+00
93        -1.1102797290060197e+01 3.4385448349707897e+00 0.0000000000000000e+00 2.0364647660986208e+01 -3.4905989786017194e+01 8.7940447058665576e+00
94        -1.1110038928412202e+01 3.4402273747832615e+00 0.0000000000000000e+00 2.0375126331056734e+01 -3.4925392634252198e+01 8.8010116521849096e+00
95        -1.1117286932126277e+01 3.4419140250489098e+00 0.0000000000000000e+00 2.0385618581107749e+01 -3.4944819538282935e+01 8.8079816522135417e+00
96        -1.1124540531252926e+01 3.4436045617668301e+00 0.0000000000000000e+00 2.0396123242866548e+01 -3.4964268335886302e+01 8.8149540165291391e+00
97        -1.1131798970843008e+01 3.4452987641892152e+00 0.0000000000000000e+00 2.0406639168918485e+01 -3.4983736903950707e+01 8.8219280705571101e+00
98        -1.1139061510415464e+01 3.4469964147899339e+00 0.0000000000000000e+00 2.0417165232071834e+01 -3.5003223157277233e+01 8.8289031539396756e+00
99        -1.1146327423438725e+01 3.4486972992309100e+00 0.0000000000000000e+00 2.0427700324738815e+01 -3.5022725047408450e+01 8.8358786199285344e+00
100       -1.1153595996826924e+01 3.4504012063257057e+00 0.0000000000000000e+00 2.0438243358325494e+01 -3.5042240561478124e+01 8.8428538347996426e+00
---------------------------------------------------------------------------------

Total time on GPU: 3.034850 seconds
---------------------------------------------------------------------------------

