
**********************************************
Contact: Natoms = 1.00000000000e+04, as = 1.000000e+02 * a0, G = 1.085900e+03, G * par = 2.171801e+03
Regular DDI: add = 6.700000e+01 * a0, GD = 1.736905e+02, GD * par = 3.473811e+02, edd = 6.700000e-01
     Dipolar cutoff Scut = 8.416910e+00,

QF = 1: h2 = 1.792281e+03,         q5 = 1.707112e+00

Trap parameters:
GAMMA = 1.000000e+00, NU = 1.000000e+00, LAMBDA = 4.361370e-02
Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 1.3151422150218750e-01, DY = 1.3151422150218750e-01, DZ = 2.2918125546406252e+00, mx = 1.00e+01, my = 1.00e+01, mz = 1.00e+01
      Unit of length: aho = 6.123800e-07 m

Time discretization: NITER = 1000000 (NSNAP = 1000000)
                     DT = 3.459198e-03, mt = 5.00e+00

file ./imag3d-finalpsi.bin
MUREL = 1.000000e-10, MUEND=1.000000e+03

-----------------------------------------------------------------------------------------------
Snap      mu           Kin             Pot            Contact            DDI            QF
-----------------------------------------------------------------------------------------------
0         2.0459162030692566e+00 3.5350193257215112e-01 9.4790575630667373e-01 1.9588700773822427e+00 -1.2143615631918110e+00 7.7721031509163818e-02
1         2.0459195537566353e+00 3.5351475211306987e-01 9.4788842810431195e-01 1.9588934875594421e+00 -1.2143771140201889e+00 7.7721898204059670e-02
2         2.0459229288798575e+00 3.5352813020296370e-01 9.4787055270162313e-01 1.9589169275014831e+00 -1.2143926815262125e+00 7.7722733108840467e-02
3         2.0459263298595447e+00 3.5354206132798460e-01 9.4785213351808584e-01 1.9589404078802124e+00 -1.2144082728667380e+00 7.7723537369973769e-02
4         2.0459297582415585e+00 3.5355653966139899e-01 9.4783317407608891e-01 1.9589639403812316e+00 -1.2144238958771612e+00 7.7724312226504583e-02
5         2.0459332156936090e+00 3.5357155906905724e-01 9.4781367800026439e-01 1.9589875376790957e+00 -1.2144395590548087e+00 7.7725059007922925e-02
6         2.0459367040016603e+00 3.5358711311528368e-01 9.4779364901687935e-01 1.9590112134104638e+00 -1.2144552715409664e+00 7.7725779131868955e-02
7         2.0459402250659702e+00 3.5360319506917259e-01 9.4777309095311724e-01 1.9590349821453441e+00 -1.2144710431016639e+00 7.7726474101687773e-02
8         2.0459437808970624e+00 3.5361979791127723e-01 9.4775200773641266e-01 1.9590588593566707e+00 -1.2144868841072982e+00 7.7727145503844089e-02
9         2.0459473736113920e+00 3.5363691434064071e-01 9.4773040339374170e-01 1.9590828613881368e+00 -1.2145028055111273e+00 7.7727795005200717e-02
10        2.0459510054268684e+00 3.5365453678218023e-01 9.4770828205089674e-01 1.9591070054205755e+00 -1.2145188188267841e+00 7.7728424350175032e-02
11        2.0459546786582399e+00 3.5367265739436399e-01 9.4768564793175070e-01 1.9591313094369864e+00 -1.2145349361048614e+00 7.7729035357780418e-02
12        2.0459583957122760e+00 3.5369126807717682e-01 9.4766250535750007e-01 1.9591557921862537e+00 -1.2145511699086544e+00 7.7729629918563234e-02
13        2.0459621590828760e+00 3.5371036048034338e-01 9.4763885874589227e-01 1.9591804731458231e+00 -1.2145675332891828e+00 7.7730209991445254e-02
14        2.0459659713459666e+00 3.5372992601176090e-01 9.4761471261042163e-01 1.9592053724833203e+00 -1.2145840397595362e+00 7.7730777600481263e-02
